Meldungen	Saison	Erkrankung	Altersgruppe	Region	Kalenderwoche	Inzidenz
146	2010/11	ARE	5-14	Bundesweit	2011-W36	3508
217	2010/11	ARE	15-34	Bundesweit	2011-W36	11086
559	2010/11	ARE	35-59	Bundesweit	2011-W36	3930
80	2010/11	ARE	60+	Bundesweit	2011-W36	3824
190	2010/11	ARE	00+	Sueden	2011-W36	3391
355	2010/11	ARE	00+	Mitte (West)	2011-W36	6016
141	2010/11	ARE	00+	Norden (West)	2011-W36	8253
375	2010/11	ARE	00+	Osten	2011-W36	5716
856	2010/11	ARE	15+	Bundesweit	2011-W36	5838
1061	2010/11	ARE	00+	Bundesweit	2011-W36	5727
205	2010/11	ARE	0-14	Bundesweit	2011-W36	4967
59	2010/11	ILI	0-4	Bundesweit	2011-W36	2533
146	2010/11	ILI	5-14	Bundesweit	2011-W36	0
217	2010/11	ILI	15-34	Bundesweit	2011-W36	2276
559	2010/11	ILI	35-59	Bundesweit	2011-W36	463
80	2010/11	ILI	60+	Bundesweit	2011-W36	0
190	2010/11	ILI	00+	Sueden	2011-W36	0
355	2010/11	ILI	00+	Mitte (West)	2011-W36	912
141	2010/11	ILI	00+	Norden (West)	2011-W36	1868
375	2010/11	ILI	00+	Osten	2011-W36	746
856	2010/11	ILI	15+	Bundesweit	2011-W36	825
1061	2010/11	ILI	00+	Bundesweit	2011-W36	812
205	2010/11	ILI	0-14	Bundesweit	2011-W36	722
54	2010/11	ARE	0-4	Bundesweit	2011-W37	12489
147	2010/11	ARE	5-14	Bundesweit	2011-W37	10593
213	2010/11	ARE	15-34	Bundesweit	2011-W37	7706
568	2010/11	ARE	35-59	Bundesweit	2011-W37	6395
83	2010/11	ARE	60+	Bundesweit	2011-W37	0
197	2010/11	ARE	00+	Sueden	2011-W37	2689
362	2010/11	ARE	00+	Mitte (West)	2011-W37	6206
138	2010/11	ARE	00+	Norden (West)	2011-W37	8400
368	2010/11	ARE	00+	Osten	2011-W37	5916
864	2010/11	ARE	15+	Bundesweit	2011-W37	4856
1065	2010/11	ARE	00+	Bundesweit	2011-W37	5680
201	2010/11	ARE	0-14	Bundesweit	2011-W37	11170
54	2010/11	ILI	0-4	Bundesweit	2011-W37	837
147	2010/11	ILI	5-14	Bundesweit	2011-W37	1546
213	2010/11	ILI	15-34	Bundesweit	2011-W37	1893
568	2010/11	ILI	35-59	Bundesweit	2011-W37	887
83	2010/11	ILI	60+	Bundesweit	2011-W37	0
197	2010/11	ILI	00+	Sueden	2011-W37	453
362	2010/11	ILI	00+	Mitte (West)	2011-W37	1110
138	2010/11	ILI	00+	Norden (West)	2011-W37	2986
368	2010/11	ILI	00+	Osten	2011-W37	354
864	2010/11	ILI	15+	Bundesweit	2011-W37	888
1065	2010/11	ILI	00+	Bundesweit	2011-W37	945
201	2010/11	ILI	0-14	Bundesweit	2011-W37	1330
61	2010/11	ARE	0-4	Bundesweit	2011-W38	15830
159	2010/11	ARE	5-14	Bundesweit	2011-W38	19285
216	2010/11	ARE	15-34	Bundesweit	2011-W38	10741
593	2010/11	ARE	35-59	Bundesweit	2011-W38	4580
91	2010/11	ARE	60+	Bundesweit	2011-W38	0
196	2010/11	ARE	00+	Sueden	2011-W38	7232
382	2010/11	ARE	00+	Mitte (West)	2011-W38	7409
146	2010/11	ARE	00+	Norden (West)	2011-W38	5883
396	2010/11	ARE	00+	Osten	2011-W38	5747
900	2010/11	ARE	15+	Bundesweit	2011-W38	4879
1120	2010/11	ARE	00+	Bundesweit	2011-W38	6605
220	2010/11	ARE	0-14	Bundesweit	2011-W38	18228
61	2010/11	ILI	0-4	Bundesweit	2011-W38	3495
159	2010/11	ILI	5-14	Bundesweit	2011-W38	5144
216	2010/11	ILI	15-34	Bundesweit	2011-W38	528
593	2010/11	ILI	35-59	Bundesweit	2011-W38	954
91	2010/11	ILI	60+	Bundesweit	2011-W38	0
196	2010/11	ILI	00+	Sueden	2011-W38	990
382	2010/11	ILI	00+	Mitte (West)	2011-W38	905
146	2010/11	ILI	00+	Norden (West)	2011-W38	883
396	2010/11	ILI	00+	Osten	2011-W38	1388
900	2010/11	ILI	15+	Bundesweit	2011-W38	561
1120	2010/11	ILI	00+	Bundesweit	2011-W38	1089
220	2010/11	ILI	0-14	Bundesweit	2011-W38	4640
69	2010/11	ARE	0-4	Bundesweit	2011-W39	18404
166	2010/11	ARE	5-14	Bundesweit	2011-W39	12359
231	2010/11	ARE	15-34	Bundesweit	2011-W39	7674
641	2010/11	ARE	35-59	Bundesweit	2011-W39	6801
103	2010/11	ARE	60+	Bundesweit	2011-W39	3256
238	2010/11	ARE	00+	Sueden	2011-W39	7731
403	2010/11	ARE	00+	Mitte (West)	2011-W39	7685
165	2010/11	ARE	00+	Norden (West)	2011-W39	3128
404	2010/11	ARE	00+	Osten	2011-W39	7324
975	2010/11	ARE	15+	Bundesweit	2011-W39	5977
1210	2010/11	ARE	00+	Bundesweit	2011-W39	7002
235	2010/11	ARE	0-14	Bundesweit	2011-W39	14194
69	2010/11	ILI	0-4	Bundesweit	2011-W39	9514
166	2010/11	ILI	5-14	Bundesweit	2011-W39	830
231	2010/11	ILI	15-34	Bundesweit	2011-W39	1248
641	2010/11	ILI	35-59	Bundesweit	2011-W39	1616
103	2010/11	ILI	60+	Bundesweit	2011-W39	0
238	2010/11	ILI	00+	Sueden	2011-W39	688
403	2010/11	ILI	00+	Mitte (West)	2011-W39	1083
165	2010/11	ILI	00+	Norden (West)	2011-W39	446
404	2010/11	ILI	00+	Osten	2011-W39	2351
975	2010/11	ILI	15+	Bundesweit	2011-W39	1041
1210	2010/11	ILI	00+	Bundesweit	2011-W39	1344
235	2010/11	ILI	0-14	Bundesweit	2011-W39	3466
77	2011/12	ARE	0-4	Bundesweit	2011-W40	9940
193	2011/12	ARE	5-14	Bundesweit	2011-W40	6440
249	2011/12	ARE	15-34	Bundesweit	2011-W40	10113
682	2011/12	ARE	35-59	Bundesweit	2011-W40	6499
116	2011/12	ARE	60+	Bundesweit	2011-W40	10880
264	2011/12	ARE	00+	Sueden	2011-W40	13862
417	2011/12	ARE	00+	Mitte (West)	2011-W40	7531
186	2011/12	ARE	00+	Norden (West)	2011-W40	6578
450	2011/12	ARE	00+	Osten	2011-W40	7061
1047	2011/12	ARE	15+	Bundesweit	2011-W40	8714
1317	2011/12	ARE	00+	Bundesweit	2011-W40	8561
270	2011/12	ARE	0-14	Bundesweit	2011-W40	7504
77	2011/12	ILI	0-4	Bundesweit	2011-W40	3173
193	2011/12	ILI	5-14	Bundesweit	2011-W40	999
249	2011/12	ILI	15-34	Bundesweit	2011-W40	1703
682	2011/12	ILI	35-59	Bundesweit	2011-W40	1161
